iter	Passed	Remaining
783	1278	352
784	1280	350
785	1281	348
786	1283	347
787	1284	345
788	1286	343
789	1287	342
790	1290	340
791	1291	339
792	1292	337
793	1293	335
794	1295	334
795	1296	332
796	1297	330
797	1299	328
798	1301	327
799	1302	325
800	1304	324
801	1305	322
802	1307	320
803	1308	319
804	1309	317
805	1310	315
806	1312	313
807	1313	312
808	1314	310
809	1315	308
810	1317	307
811	1319	305
812	1321	303
813	1322	302
814	1323	300
815	1325	298
816	1326	297
817	1327	295
818	1328	293
819	1330	292
820	1331	290
821	1332	288
822	1334	287
823	1335	285
824	1337	283
825	1339	282
826	1340	280
827	1341	278
828	1343	277
829	1344	275
830	1346	273
831	1347	272
832	1349	270
833	1350	268
834	1352	267
835	1354	265
836	1355	263
837	1356	262
838	1357	260
839	1358	258
840	1360	257
841	1361	255
842	1362	253
843	1364	252
844	1365	250
845	1367	248
846	1369	247
847	1370	245
848	1372	244
849	1373	242
850	1374	240
851	1375	238
852	1377	237
853	1378	235
854	1379	233
855	1380	232
856	1382	230
857	1384	229
858	1386	227
859	1387	225
860	1388	224
861	1389	222
862	1391	220
863	1392	219
864	1394	217
865	1395	215
866	1396	214
867	1398	212
868	1400	211
869	1402	209
870	1403	207
871	1404	206
872	1405	204
873	1407	202
874	1408	201
875	1410	199
876	1411	197
877	1412	196
878	1414	194
879	1415	193
880	1417	191
881	1419	189
882	1420	188
883	1422	186
884	1423	184
885	1424	183
886	1426	181
887	1427	180
888	1428	178
889	1430	176
890	1432	175
891	1434	173
892	1435	171
893	1437	170
894	1438	168
895	1440	167
896	1441	165
897	1442	163
898	1444	162
899	1445	160
900	1447	159
901	1449	157
902	1451	155
903	1452	154
904	1453	152
905	1455	150
906	1456	149
907	1458	147
908	1459	146
909	1461	144
910	1463	143
911	1465	141
912	1467	139
913	1470	138
914	1471	136
915	1473	135
916	1474	133
917	1475	131
918	1477	130
919	1478	128
920	1480	126
921	1482	125
922	1483	123
923	1485	122
924	1486	120
925	1487	118
926	1488	117
927	1490	115
928	1492	114
929	1493	112
930	1495	110
931	1497	109
932	1498	107
933	1500	106
934	1501	104
935	1502	102
936	1504	101
937	1505	99
938	1507	97
939	1508	96
940	1509	94
941	1511	93
942	1512	91
943	1514	89
944	1516	88
945	1517	86
946	1518	85
947	1520	83
948	1521	81
949	1523	80
950	1524	78
951	1525	76
952	1527	75
953	1529	73
954	1531	72
955	1532	70
956	1534	68
957	1535	67
958	1536	65
959	1538	64
960	1539	62
961	1540	60
962	1542	59
963	1543	57
964	1544	56
965	1546	54
966	1547	52
967	1548	51
968	1550	49
969	1551	47
970	1552	46
971	1553	44
972	1554	43
973	1556	41
974	1557	39
975	1559	38
976	1560	36
977	1561	35
978	1563	33
979	1564	31
980	1565	30
981	1566	28
982	1568	27
983	1570	25
984	1571	23
985	1573	22
986	1574	20
987	1576	19
988	1578	17
989	1579	15
990	1580	14
991	1581	12
992	1582	11
993	1583	9
994	1584	7
995	1587	6
996	1589	4
997	1590	3
998	1592	1
999	1593	0
